,date,tts,ttb
0,2023-07-03,145.51,143.51
1,2023-07-04,145.56,143.56
2,2023-07-05,145.56,143.56
3,2023-07-06,145.44,143.44
4,2023-07-07,145.15,143.15
5,2023-07-10,143.54,141.54
6,2023-07-11,142.46,140.46
7,2023-07-12,140.89,138.89
8,2023-07-13,139.68,137.68
9,2023-07-14,139.04,137.04
10,2023-07-18,139.88,137.88
11,2023-07-19,140.04,138.04
12,2023-07-20,140.7,138.7
13,2023-07-21,141.09,139.09
14,2023-07-24,142.83,140.83
15,2023-07-25,142.58,140.58
16,2023-07-26,142.11,140.11
17,2023-07-27,141.34,139.34
18,2023-07-28,140.53,138.53
19,2023-07-31,141.97,139.97
20,2023-08-01,143.45,141.45
21,2023-08-02,144.23,142.23
22,2023-08-03,144.47,142.47
23,2023-08-04,143.88,141.88
24,2023-08-07,142.7,140.7
25,2023-08-08,144.06,142.06
26,2023-08-09,144.46,142.46
27,2023-08-10,144.96,142.96
28,2023-08-14,146.11,144.11
29,2023-08-15,146.6,144.6
30,2023-08-16,146.72,144.72
31,2023-08-17,147.49,145.49
32,2023-08-18,146.71,144.71
33,2023-08-21,146.33,144.33
34,2023-08-22,147.27,145.27
35,2023-08-23,146.72,144.72
36,2023-08-24,145.86,143.86
37,2023-08-25,147.22,145.22
38,2023-08-28,147.55,145.55
39,2023-08-29,147.53,145.53
40,2023-08-30,147.05,145.05
41,2023-08-31,147.2,145.2
42,2023-09-01,146.73,144.73
43,2023-09-04,147.27,145.27
44,2023-09-05,147.56,145.56
45,2023-09-06,148.86,146.86
46,2023-09-07,148.94,146.94
47,2023-09-08,148.01,146.01
48,2023-09-11,147.97,145.97
49,2023-09-12,147.72,145.72
50,2023-09-13,148.32,146.32
51,2023-09-14,148.17,146.17
52,2023-09-15,148.62,146.62
53,2023-09-19,148.73,146.73
54,2023-09-20,148.84,146.84
55,2023-09-21,149.43,147.43
56,2023-09-22,148.67,146.67
57,2023-09-25,149.5,147.5
58,2023-09-26,149.95,147.95
59,2023-09-27,150.08,148.08
60,2023-09-28,150.65,148.65
61,2023-09-29,150.58,148.58
62,2023-10-02,150.79,148.79
63,2023-10-03,150.92,148.92
64,2023-10-04,150.3,148.3
65,2023-10-05,149.87,147.87
66,2023-10-06,149.75,147.75
67,2023-10-10,149.6,147.6
68,2023-10-11,149.66,147.66
